"Solr","Solr"
"General","Allgemein"
"Is active","Ist aktiv"
"Is active for Search","Ist aktiv für Suche"
"Is active for Autosuggest","Ist aktiv für Suchvorschläge"
"Activate Logging","Logging aktivieren"
"The logs can be found at var/log/solr.log. Make sure to have logging activated.","Die Logs befinden sich unter var/log/solr.log. Achtung: Logging muss aktiviert sein."
"Solr Server","Solr-Server"
"Host","Host"
"Example: localhost, 192.168.46.102","Beispiel: localhost, 192.168.46.102"
"Server Port","Server-Port"
"Example: 8081","Beispiel: 8081"
"Path","Pfad"
"Example: /solr/","Beispiel: /solr/"
"Core","Core"
"Example: collection1, core0","Beispiel: collection1, core0"
"Sensitivity for Search","Sensibilität für Suche"
"Sensitivity for Autosuggest","Sensibilität für Suchvorschläge"
"Value between 0 and 1. Smaller values mean more fuzzy search results.","Wert zwischen 0 und 1. Je kleiner, desto unschärfer."
"Minimum results, if smaller active fuzzy", "Minimum Ergebnisse, wenn kleiner dann Fuzzy aktivieren"
"Number of Sufficient Direct Search Results","Anzahl ausreichender direkter Suchergebnisse"
"Number of Sufficient Direct Search Results for Autosuggest","Anzahl ausreichender direkter Suchergebnisse für Suchvorschläge"
"If there are at least this many search results, fuzzy search will not be performed. If you enter 0 or no value, fuzzy search will always be performed.","Gibt es mindestens so viele direkte Suchergebnisse, wird keine unscharfe Suche durchgeführt. Wird der Wert 0 oder kein Wert eingetragen, wird die unscharfe Suche immer durchgeführt."
"If there are at least this many search results for autosuggest, fuzzy search will not be performed. If you enter 0 or no value, fuzzy search will always be performed.","Gibt es mindestens so viele direkte Suchergebnisse, wird keine unscharfe Suche durchgeführt. Wird der Wert 0 oder kein Wert eingetragen, wird die unscharfe Suche immer durchgeführt."
"Fuzzy Search","Unscharfe Suche"
"Solr Boost","Solr Boost"
"Solr Priority","Solr-Priorität"
"Solr Priority of Category Names","Solr-Priorität von Kategorienamen"
"1 is default, use higher numbers for higher priority.","1 ist Standard, höhere Werte für höhere Priorität"
"Search Results","Suchergebnisse"
"Use HTML from Solr Index","HTML vom Solr-Index verwenden"
"Advantages: faster search<br />Disadvantages: slower indexing, no user dependant results","Vorteile: schnellere Suche<br />Nachteile: Langsamere Indizierung, keine benutzerabhängigen Suchergebnisse"
"Autosuggest Box","Suchvorschlags-Box"
"Maximum number of searchword suggestions","Maximale Anzahl Suchwort-Vorschläge"
"Maximum number of product suggestions","Maximale Anzahl Produkt-Vorschläge"
"Maximum number of category suggestions","Maximale Anzahl Kategorie-Vorschläge"
"0 = don't show","0 = nicht anzeigen"
"0 = show all","0 = alle anzeigen"
"Type of Category Links","Typ von Kategorie-Links"
"Search result page with set category filter","Suchergebnisseite mit gesetztem Kategoriefilter"
"Category page","Kategorieseite"
"Method to retrieve autosuggest information","Methode zum Ermitteln von Suchvorschlags-Informationen"
"PHP without Magento instantiation","PHP ohne Magento-Aufruf"
"Magento Controller","Magento-Controller"
"Magento with separate PHP file","Magento über separate PHP-Datei"
"Please see manual for information about the different methods.","Bitte beachten Sie die Anleitung für Informationen zu den verschiedenen Methoden."
"Product Suggestions","Produktvorschläge"
"Categories","Kategorien"
"for your Search","zu Ihrer Suche"
"Attribute Filter Suggestions","Attributfilter-Vorschläge"
"Attribute","Attribut"
"Maximum number of suggestions","Max. Anzahl Vorschläge"
"Sorting","Sortierung"
"IntegerNet_Solr::Add","Hinzufügen"
"Indexing","Indizierung"
"Number of Products per Bunch","Anzahl Produkte pro Durchlauf"
"Higher number means better indexing performance. Reduce if you are getting memory errors.","Höhere Anzahl ergibt eine bessere Performance bei der Indizierung. Reduzieren Sie die Anzahl, wenn Sie Speicherfehler erhalten."
"Exclude this Category from Solr Index","Diese Kategorie vom Solr-Index ausnehmen"
"Exclude Child Categories from Solr Index","Kind-Kategorien vom Solr-Index ausnehmen"
"Exclude only Categories, not included Products","Nur Kategorien, nicht enthaltene Produkte"
"HTTP Transport Method","HTTP-Übertragungsmethode"
"Please change if you are getting communication errors","Bitte wechseln, falls Sie Übertragungsfehler erhalten"
"file_get_contents","file_get_contents"
"cURL","cURL"
"Use HTTP Basic Authentication","HTTP Basis-Authentifizierung verwenden"
"HTTP Basic Authentication: Username","HTTP Basis-Authentifizierung: Benutzername"
"HTTP Basic Authentication: Password","HTTP Basis-Authentifizierung: Passwort"
"Exclude this Product from Solr Index","Dieses Produkt vom Solr-Index ausschließen"
"Show complete category path","Kompletten Kategorie-Pfad anzeigen"
"Size of Price Steps","Größe der Preis-Schritte"
"i.e. 100","z.B. 100"
"Upper Limit of Price Steps","Obergrenze der Preis-Schritte"
"i.e. 1000","z.B. 1000"
"Use Custom Price Intervals","Individuelle Preisintervalle verwenden"
"Needs Solr 4.10+","Benötigt Solr 4.10+"
"Needs Solr 4.10+ and Magento CE 1.7+ / Magento EE 1.12+","Benötigt Solr 4.10+ und Magento CE 1.7+ / Magento EE 1.12+"
"Custom Price Intervals","Individuelle Preisintervalle"
"Divide steps by comma, i.e. 10,20,50,100,200,300,400,500","Grenzen durch Komma getrennt, z.B. 10,20,50,100,200,300,400,500"
"from %s","ab %s"
"Delete all Solr Index Entries before Reindexing","Alle Solr-Indexeinträge vor Neuindizierung löschen"
"Swap Cores after Full Reindex","Cores tauschen nach vollständiger Neuindizierung"
"Allows reindexing on an inactive core and switch when finished","Ermöglicht die Neunindizierung auf einem inaktiven Core und Tausch, wenn abgeschlossen."
"Name of Core to swap active Core with","Name des Cores, mit dem der aktive Core getauscht werden soll"
"Search Operator","Such-Operator"
"AND","UND"
"OR","ODER"
"Solr Module is not activated.","Das Solr-Modul ist nicht aktiviert."
"Solr Module is activated.","Das Solr-Modul ist aktiviert."
"Solr server configuration is incomplete.","Die Solr-Serverkonfiguration ist unvollständig."
"Solr server configuration is complete.","Die Solr-Serverkonfiguration ist vollständig."
"Connection to Solr server failed.","Verbindung zum Solr-Server fehlgeschlagen."
"Connection to Solr server established successfully.","Verbindung zum Solr-Server erfolgreich aufgebaut."
"Please enter name of core and swap core.","Bitte geben Sie die Namen von Core und Austausch-Core an."
"Solr Connection to swap core could not be established.","Verbindung zum Austausch-Core des Solr-Servers konnte nicht aufgebaut werden."
"Solr Connection to swap core established successfully.","Verbindung zum Austausch-Core des Solr-Servers erfolgreich aufgebaut."
"Test search request issued successfully.","Test-Suchanfrage erfolgreich abgesetzt."
"Test search request failed.","Test-Suchanfrage fehlgeschlagen."
"Maybe the configuration files are not installed correctly on the Solr server.","Möglicherweise sind die Konfigurationsdateien nicht korrekt auf dem Solr-Server eingespielt."
"Test search request to swap core issued successfully.","Test-Suchanfrage zum Austausch-Core des Solr-Servers erfolgreich abgesetzt."
"Test search request to swap core failed.","Test-Suchanfrage zum Austausch-Core des Solr-Servers fehlgeschlagen."
"Maybe the configuration files are not installed correctly on the Solr swap core.","Möglicherweise sind die Konfigurationsdateien nicht korrekt auf dem Austausch-Core des Solr-Servers eingespielt."
"You can get a meaningful error message from the tab ""Logging"" on the Solr Admin Interface.","Sie können eine aussagekräftige Fehlermeldung im Tab ""Logging"" der Solr-Adminoberfläche einsehen."
"Module version: %s","Modul-Version: %s"
"Magento version: %s","Magento-Version: %s"
"Magento version: %s (%s Edition)","Magento-Version: %s (%s Edition)"
"Solr version: %s","Solr-Version: %s"
"License Key","Lizenzschlüssel"
"Example: AAAAA-BBBBB. Will be necessary two weeks after install.","Beispiel: AAAAA-BBBBB. Ist spätestens zwei Wochen nach Installation notwendig."
"Your license key is valid.","Der eingetragene Lizenzschlüssel ist gültig."
"The license key you have entered is incorrect.","Der eingetragene Lizenzschlüssel ist ungültig."
"You haven't entered your license key yet.","Sie haben noch keinen Lizenzschlüssel eingetragen."
"You haven't entered your license key for the IntegerNet_Solr module yet. The module has been disabled automatically.","Sie haben noch keinen Lizenzschlüssel für das IntegerNet_Solr-Modul eingetragen. Das Modul wurde automatisch deaktiviert."
"You haven't entered your license key for the IntegerNet_Solr module yet. The module will stop working four weeks after installation.","Sie haben noch keinen Lizenzschlüssel für das IntegerNet_Solr-Modul eingetragen. Das Modul wird vier Wochen nach Installation automatisch deaktiviert."
"Rebuild Solr Autosuggest Cache","Solr Suchvorschlagscache neu aufbauen"
"Cache for Solr autosuggest function. Contains configuration and template of autosuggest box.","Cache für die Solr-Suchvorschlagsfunktion. Beinhaltet Konfiguration und Template der Suchvorschlags-Box."
"The Solr Autosuggest Cache has been flushed and rebuilt successfully.","Der Solr-Suchvorschlags-Cache wurde erfolgreich geleert und neu aufgebaut."
"Connection Check","Erreichbarkeitsprüfung"
"Check Solr Server Connectivity automatically","Erreichbarkeit des Solr-Servers automatisch prüfen"
"A test request will be sent to the server every 5 minutes.","Alle 5 Minuten wird eine Testanfrage zum Server gesendet."
"Send Notification Email after X Failures in a Row","E-Mail-Benachrichtigung nach der X-ten fehlgeschlagenen Prüfung hintereinander senden"
"Email Template","E-Mail-Vorlage"
"IntegerNet_Solr::Email Template","E-Mail-Vorlage"
"Email Sender","E-Mail-Absender"
"IntegerNet_Solr::Email Sender","E-Mail-Absender"
"Email Recipient(s)","E-Mail-Empfänger"
"Divide email addresses by comma","E-Mail-Adressen durch Komma getrennt"
"Solr Connection Check Notification","Solr Verbindungsprüfung Benachrichtigung"
"Errors for Store """%s"":","Fehler für Store ""%s"":"
"Connection to Solr Server has been restored.","Die Verbindung zum Solr-Server wurde wiederhergestellt."
"It seems you have no cronjobs running. They are needed for doing regular connection checks. We strongly suggest you setup cronjobs. See <a href=""http://www.magentocommerce.com/wiki/1_-_installation_and_configuration/how_to_setup_a_cron_job"" target=""_blank"">here</a> for details.","Anscheinend sind in Ihrem Shop keine Cronjobs aktiviert. Diese werden benötigt, um die reglmäßige Erreichbarkeitsprüfung durchzuführen. Wir empfehlen Ihnen dringend, Cronjobs aufzusetzen. Klicken Sie <a href=""http://www.magentocommerce.com/wiki/1_-_installation_and_configuration/how_to_setup_a_cron_job"" target=""_blank"">hier</a> für Details."
"Use HTTPS","HTTPS verwenden"
"Use Solr to display products on category pages","Solr für die Darstellung von Produkten auf Kategorieseiten verwenden"
"Category Pages","Kategorieseiten"
"Register Autoloader","Autoloader registrieren"
"Disable if you are using an own PSR-4 autoloader, e.g. from composer","Deaktivieren, wenn Sie einen eigenen PSR-4 Autoloader nutzen, z.B. von composer"
"Autoloader Base Path","Basis-Pfad für Autoloader"
"Path to IntegerNet_Solr library. Absolute path or relative to Magento base dir.","Pfad zur IntegerNet_Solr Bibliothek. Absoluter Pfad oder relativ zum Magento Basisverzeichnis."
"Remove Filters","Filter entfernen"
"Hold the CTRL key to select multiple filters","STRG-Taste gedrückt halten für mehrere Filter"
"The module Aoe_LayoutConditions is not installed. Please get it from <a href=""%s"" target=""_blank"">%s</a>.","Das Modul Aoe_LayoutConditions ist nicht installiert. Bitte installieren Sie es von <a href=""%s"" target=""_blank"">%s</a>."
"Redirect to product page on direct match in one of these attributes","Weiterleitung zur Produktseite bei 100% Übereinstimmung mit einem dieser Attribute"
"If the exact name / sku / ... is entered in the search field, the customer will be redirected to the product view page.","Wenn der exakte Name / SKU / ... in das Suchfeld eingetragen wird, wird der Kunde auf die entsprechende Produktseite weitergeleitet."
"Redirect to category page on direct match in one of these attributes","Weiterleitung zur Kategorieseite bei 100% Übereinstimmung mit einem dieser Attribute"
"If the exact name / ... is entered in the search field, the customer will be redirected to the category view page.","Wenn der exakte Name / ... in das Suchfeld eingetragen wird, wird der Kunde auf die entsprechende Kategorieseite weitergeleitet."
"Search Result Page (always)","Suchergebnisseite (immer)"
"Search Result Page with active Filters","Suchergebnisseite mit gesetzten Filtern"
"Categoy Page with active Filters","Kategorieseite mit gesetzten Filtern"
"Hide the following pages from robots:","Die folgenden Seiten vor Bots schützen:"
"This will set NOINDEX,NOFOLLOW","Dadurch wird NOINDEX,NOFOLLOW gesetzt"
"Position of Filters","Position der Filter"
"Left column (Magento default)","Linke Spalte (Magento-Standard)"
"Content column (above products)","Inhaltsspalte (oberhalb der Produkte)"
"Default Value from Configuration","Standardwert aus der Konfiguration"